subassembly,fabrication_class,part_id,path
500,OFF_THE_SHELF,RVX1_500_16X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_16X.STEP
500,OFF_THE_SHELF,RVX1_500_19X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_19X.STEP
500,OFF_THE_SHELF,RVX1_500_20X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_20X.STEP
500,OFF_THE_SHELF,RVX1_500_21X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_21X.STEP
500,OFF_THE_SHELF,RVX1_500_22X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_22X.STEP
500,OFF_THE_SHELF,RVX1_500_27X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_27X.STEP
500,OFF_THE_SHELF,RVX1_500_28X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_28X.STEP
500,OFF_THE_SHELF,RVX1_500_29X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_29X.STEP
500,OFF_THE_SHELF,RVX1_500_30X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_30X.STEP
500,OFF_THE_SHELF,RVX1_500_31X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_31X.STEP
500,OFF_THE_SHELF,RVX1_500_32X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_32X.STEP
500,OFF_THE_SHELF,RVX1_500_33X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_33X.STEP
500,OFF_THE_SHELF,RVX1_500_34X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_34X.STEP
500,OFF_THE_SHELF,RVX1_500_35X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_35X.STEP
500,OFF_THE_SHELF,RVX1_500_41X,mechanical/RVX1/500/FABRICATION/OFF_THE_SHELF/RVX1_500_41X.STEP
600,ALU_7075,RVX1_600_05A,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_05A.step.STEP
600,ALU_7075,RVX1_600_06A,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_06A.step.STEP
600,ALU_7075,RVX1_600_08A,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_08A.step.STEP
600,ALU_7075,RVX1_600_09A,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_09A.step.STEP
600,ALU_7075,RVX1_600_12A,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_12A.step.STEP
600,ALU_7075,RVX1_600_23A_SS,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_23A_SS.step.STEP
600,ALU_7075,RVX1_600_24A_SS,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_24A_SS.step.STEP
600,ALU_7075,RVX1_600_25A,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_25A.step.STEP
600,ALU_7075,RVX1_600_36A,mechanical/RVX1/600/FABRICATION/ALU_7075/RVX1_600_36A.step.STEP
600,SML_316L,RVX1_600_01B,mechanical/RVX1/600/FABRICATION/SML_316L/RVX1_600_01B.step.STEP
600,SML_316L,RVX1_600_17B,mechanical/RVX1/600/FABRICATION/SML_316L/RVX1_600_17B.step.STEP
